V1,V2,word
-0.042799762248422676,0.039432339639315604,children
-0.03881042199594974,-0.054179479558611035,justice
-0.02836627829701825,-0.024516198887396003,senator
-0.03193788960382582,-0.013180085419871127,colleagues
-0.023515324332300278,-0.01722508597697402,discuss
-0.05399669288091904,0.012651492821604396,million
-0.049807241545235845,-0.028233445308318946,pass
-0.04204492176363221,-0.12582780976176483,nomination
-0.043871135230677476,0.014609051342084373,better
-0.03798612243468372,0.04338764864510942,farmers
-0.01952345704697902,0.003421187200688085,america
-0.043485547773814824,0.029673401352113292,rights
-0.04707574762876895,0.016771602779069198,critical
-0.03435632424198814,-0.041179267201584685,any
-0.03104111364308521,0.030781394128155535,energy
-0.02612906752470157,0.02503419447474005,safe
-0.029037361425473463,-0.020628386049288325,after
-0.03433365445315282,0.002237146833762265,because
-0.04477015720321801,0.022883370738530123,hard
-0.04745390298759201,-0.13196925221062458,kavanaugh’s
-0.014179322516559461,-0.0015915787048160946,world
-0.033375991918520385,-0.12372631183751574,scotus
-0.04940625637387357,0.03627096661890529,lost
-0.02968413348794779,0.014208682847554761,use
-0.021444175285442416,-0.013115832139242946,am
-0.026283702563061534,-0.012844249442951957,that’s
-0.0361809043494568,-0.007560603602045155,power
-0.03712777726521543,3.8537052382412893e-4,government
-0.04934288582551822,0.008789891558478603,sure
-0.024695768560086043,-0.023999204036704844,during
-0.047480666299893115,0.02635692820794459,leaders
-0.022785790261359757,-0.009134854300967023,some
-0.039002025217317986,-0.01879127093848442,step
-0.013676626018695485,0.005645510423210955,learn
-0.026057094260439832,-0.0022551458485318733,job
-0.04619283085618367,-0.03925359622398336,serve
-0.03858280887044962,0.01728088324989694,put
-0.0547371066687499,0.04604020742049053,conditions
-0.04807341252921964,0.02894248768520129,pay
-0.039680115410542165,0.005078683312415071,address
-0.0218843197487399,-0.012216821447877477,i'm
-0.029529057057045928,0.005807227757012142,still
-0.01903281205462017,1.4977517746518976e-4,county
-0.025771308829681844,-0.00837239590679392,1
-0.009519447055908094,0.004111145731511683,while
-0.03166776707120115,-0.039545531190356045,meeting
-0.027023918752568325,-0.002739942197417946,join
-0.01338562244256766,-0.01850421973892618,morning
-0.03457296176763855,0.02287277940555775,water
-0.023374128720793284,0.006168092565327,best
-0.016660006410457156,-0.006828984790607415,office
-0.01836800202685479,-0.023391612864329454,united
-0.020370620032105893,-0.010016187951943034,news
-0.023667362997376155,-0.0212783265089269,look
-0.023416162025198146,-0.038396849155231824,next
-0.014737235007235524,-0.00921234274074167,part
-0.01754097699457477,-0.01259486675615115,down
-0.05265151523411874,0.04362539279139731,pre
-0.04955780749062327,0.03600994103413755,existing
-0.022427322837270447,0.01685051519502206,economic
-0.02925298624713629,-0.005707770606504205,plan
-0.04877742179682135,-0.06977358875706101,questions
-0.04241223976865671,-0.010067617388688221,want
-0.032325745690561576,-0.027479364985154825,friend
-0.027624254557498878,-0.027345330200118804,even
-0.03598961370437411,0.010519434736706773,tax
-0.043612250412545545,-0.10877905940905157,nominee
-0.025441987446982315,-0.01681533572554421,under
-0.03213348960032251,0.035437134689341794,businesses
-0.014745668695253218,0.01928599890373266,future
-0.030129232135146393,-0.003620069778386337,come
-0.027286300655555724,-0.007937085013342626,needs
-0.03480184142138302,0.0011535059892598628,issues
-0.023492669335640468,-0.002635762018701154,long
-0.01692533029652619,-0.012050671807409917,another
-0.059368430531512174,0.03822045331368962,protections
-0.02038801587547016,0.010581480580802523,home
-0.016376994892881806,-0.017298443882277897,potus
-0.03202708212532127,0.01799661915952493,nation’s
-0.029745510240258982,0.00517374518746192,strong
-0.03346615903454196,0.03393701228195705,members
-0.03412851273354818,-0.005470277305781589,going
-0.04536992636180294,0.020357153730426014,drug
-0.04036709953949127,0.010545627435404246,fighting
-0.025887498259083548,0.046853581050215705,men
-0.03944616944906847,0.0026441366450686817,doing
-0.02978947307402707,-0.015705206395432242,end
-0.035788633149466946,0.007702108304092196,stand
-0.026445423004252257,0.002166870930969907,much
-0.016856855376986498,0.00880381350786919,around
-0.0296999951086162,0.025139839759281368,high
-0.044475653981611754,0.02727098165547871,remember
-0.02713601090899126,-0.019591996379196962,where
-0.02725217469848081,0.012299908264309035,school
-0.023018141991255986,-0.0182363858803869,opportunity
-0.011535842617361932,-0.01085297749012888,2
-0.03201946999755325,-0.0023779118961120616,role
-0.03382406685467395,0.008700072305434459,defense
-0.016038714986662955,-0.0042696206691249785,it's
-0.06092469599438447,0.03422792834643774,insurance
-0.016922991067480714,-0.01450264543322199,she
